glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
ainThreedotsbelow-ar,uni08B3,08B3,859,,
ainThreedotsbelow-ar.fina,uni08B3.fina,,860,,
ainThreedotsbelow-ar.medi,uni08B3.medi,,861,,
ainThreedotsbelow-ar.init,uni08B3.init,,862,,
ghain-ar,uni063A,063A,863,,
ghain-ar.fina,uni063A.fina,,864,,
ghain-ar.medi,uni063A.medi,,865,,
ghain-ar.init,uni063A.init,,866,,
ghainThreedots-ar,uni08C3,08C3,870,,
ghainThreedots-ar.fina,uni08C3.fina,,871,,
ghainThreedots-ar.medi,uni08C3.medi,,872,,
ghainThreedots-ar.init,uni08C3.init,,873,,
ghainDotbelow-ar,uni06FC,06FC,884,,
ghainDotbelow-ar.fina,uni06FC.fina,,885,,
ghainDotbelow-ar.medi,uni06FC.medi,,886,,
ghainDotbelow-ar.init,uni06FC.init,,887,,
feh-ar,uni0641,0641,888,,
feh-ar.fina,uni0641.fina,,889,,
feh-ar.medi,uni0641.medi,,890,,
feh-ar.init,uni0641.init,,891,,
veh-ar,uni06A4,06A4,892,,
veh-ar.fina,uni06A4.fina,,893,,
veh-ar.medi,uni06A4.medi,,894,,
veh-ar.init,uni06A4.init,,895,,
fehDotless-ar,uni06A1,06A1,896,,
fehDotless-ar.fina,uni06A1.fina,,897,,
fehDotless-ar.medi,uni06A1.medi,,898,,
fehDotless-ar.init,uni06A1.init,,899,,
fehDotmovedbelow-ar,uni06A2,06A2,900,,
fehDotmovedbelow-ar.fina,uni06A2.fina,,901,,
fehDotmovedbelow-ar.medi,uni06A2.medi,,902,,
fehDotmovedbelow-ar.init,uni06A2.init,,903,,
fehDotbelow-ar,uni06A3,06A3,904,,
fehDotbelow-ar.fina,uni06A3.fina,,907,,
fehDotbelow-ar.medi,uni06A3.medi,,908,,
fehDotbelow-ar.init,uni06A3.init,,909,,
fehThreedotsbelow-ar,uni06A5,06A5,910,,
fehThreedotsbelow-ar.fina,uni06A5.fina,,911,,
fehThreedotsbelow-ar.medi,uni06A5.medi,,912,,
fehThreedotsbelow-ar.init,uni06A5.init,,913,,
peheh-ar,uni06A6,06A6,914,,
peheh-ar.fina,uni06A6.fina,,915,,
peheh-ar.medi,uni06A6.medi,,916,,
peheh-ar.init,uni06A6.init,,917,,
fehTwodotsbelow-ar,uni0760,0760,918,,
fehTwodotsbelow-ar.fina,uni0760.fina,,919,,
fehTwodotsbelow-ar.medi,uni0760.medi,,920,,
fehTwodotsbelow-ar.init,uni0760.init,,921,,
fehThreedotsupbelow-ar,uni0761,0761,922,,
fehThreedotsupbelow-ar.fina,uni0761.fina,,924,,
fehThreedotsupbelow-ar.medi,uni0761.medi,,926,,
fehThreedotsupbelow-ar.init,uni0761.init,,928,,
fehDotbelowThreedotsabove-ar,uni08A4,08A4,930,,
fehDotbelowThreedotsabove-ar.fina,uni08A4.fina,,931,,
fehDotbelowThreedotsabove-ar.medi,uni08A4.medi,,932,,
fehDotbelowThreedotsabove-ar.init,uni08A4.init,,933,,
fehAfrican-ar,uni08BB,08BB,934,,
fehAfrican-ar.fina,uni08BB.fina,,935,,
fehAfrican-ar.medi,uni08BB.medi,,936,,
fehAfrican-ar.init,uni08BB.init,,937,,
qafDotless-ar,uni066F,066F,938,,
qafDotless-ar.fina,uni066F.fina,,939,,
qafDotless-ar.medi,uni066F.medi,,940,,
qafDotless-ar.init,uni066F.init,,941,,
qaf-ar,uni0642,0642,942,,
qaf-ar.fina,uni0642.fina,,943,,
qaf-ar.medi,uni0642.medi,,944,,
qaf-ar.init,uni0642.init,,945,,
qafDotabove-ar,uni06A7,06A7,946,,
qafDotabove-ar.fina,uni06A7.fina,,947,,
qafDotabove-ar.medi,uni06A7.medi,,948,,
qafDotabove-ar.init,uni06A7.init,,949,,
qafThreedotsabove-ar,uni06A8,06A8,952,,
qafThreedotsabove-ar.fina,uni06A8.fina,,953,,
qafThreedotsabove-ar.medi,uni06A8.medi,,954,,
